"#"	"x"	"bhikkhupātimokkhapāḷi"	"pos"	"grammar"	"+case"	"tamil"	"meaning"	"lit. meaning"	"root"	"rt gp"	"sign"	"base"	"construction"	"compound type"	"compound construction"	"abbrev"	"source"	"sentence"	"aṭṭhakathā"
"2"	"3"	"yassa"	"pron"	"masc dat sg of ya"	"0"	"யாருக்காக"	"for whoever"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	""	""	""	""
"1"	"1"	"sambādho"	"noun"	"masc nom sg of sambhāda"	""	""	"crowding, inconvenience, discomfort"	""	"√bādh (press)"	"1"	"a"	""	"saṃ + √bhād + a"	""	""	"PA 16"	"anupakhajjasikkhāpadaṃ"	"yo pana bhikkhu saṅghike vihāre jānaṃ pubb'upagataṃ bhikkhuṃ anupakhajja seyyaṃ kappeyya yassa <b>sambādho</b> bhavissati, so pakkamissatī'ti etad'eva paccayaṃ karitvā anaññaṃ, pācittiyaṃ."	""
"1"	"2"	"bhavissati"	"verb"	"fut 3rd sg of bhavati"	""	""	"there will be"	""	"√bhū (be)"	"1"	"a"	"√bhū + a > bhava"	"bhava + ti"	""	""	"PA 16"	"anupakhajjasikkhāpadaṃ"	"yo pana bhikkhu saṅghike vihāre jānaṃ pubb'upagataṃ bhikkhuṃ anupakhajja seyyaṃ kappeyya yassa sambādho <b>bhavissati</b>, so pakkamissatī'ti etad'eva paccayaṃ karitvā anaññaṃ, pācittiyaṃ."	""
"28"	"37"	"so"	"pron"	"masc nom sg of ta"	"0"	"அவர்"	"he, that"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	""	""	""	""
"1"	"1"	"pakkamissatīti"	""	""	""	""	""	""	""	""	""	""	""	""	""	"PA 16"	"anupakhajjasikkhāpadaṃ"	"yo pana bhikkhu saṅghike vihāre jānaṃ pubb'upagataṃ bhikkhuṃ anupakhajja seyyaṃ kappeyya yassa sambādho bhavissati, so <b>pakkamissatī'ti</b> etad'eva paccayaṃ karitvā anaññaṃ, pācittiyaṃ."	""
"1"	"1"	"- pakkamissati"	"verb"	"fut 3rd sg of pakkamati"	""	""	"he will leave"	""	"√kam (go)"	"1"	"a"	"√kam + a > kama"	"pa + kama + ti"	""	""	"PA 16"	"anupakhajjasikkhāpadaṃ"	"yo pana bhikkhu saṅghike vihāre jānaṃ pubb'upagataṃ bhikkhuṃ anupakhajja seyyaṃ kappeyya yassa sambādho bhavissati, so <b>pakkamissatī</b>'ti etad'eva paccayaṃ karitvā anaññaṃ, pācittiyaṃ."	""
"31"	"45"	"- iti"	"ind"	"0"	"0"	"என"	"“”"	"thus"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	""	""	""	""
"1"	"4"	"etadeva"	"sandhi"	"pron + ind"	""	""	"just this, only this"	""	""	""	""	""	""	""	""	"PA 16"	"anupakhajjasikkhāpadaṃ"	"yo pana bhikkhu saṅghike vihāre jānaṃ pubb'upagataṃ bhikkhuṃ anupakhajja seyyaṃ kappeyya yassa sambādho bhavissati, so pakkamissatī'ti <b>etad'eva</b> paccayaṃ karitvā anaññaṃ, pācittiyaṃ."	""
"2"	"2"	"- etad"	"pron"	"nt nom sg of eta"	"0"	"0"	"this"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	""	""	""	""
"16"	"20"	"- eva"	"ind"	"0"	"0"	"ம்.."	"just, only"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	""	""	""	""
"1"	"4"	"paccayaṃ"	"noun"	"masc acc sg of paccaya"	""	""	"cause, reason"	""	"√i (come, go)"	"1"	"a"	""	"pati + √i + *a"	""	""	"PA 16"	"anupakhajjasikkhāpadaṃ"	"yo pana bhikkhu saṅghike vihāre jānaṃ pubb'upagataṃ bhikkhuṃ anupakhajja seyyaṃ kappeyya yassa sambādho bhavissati, so pakkamissatī'ti etad'eva <b>paccayaṃ</b> karitvā anaññaṃ, pācittiyaṃ."	""
"1"	"4"	"karitvā"	"abs"	"abs of karoti"	""	""	"having made"	""	"√kar (do, make)"	"7"	"o"	""	"√kar + itvā"	""	""	"PA 16"	"anupakhajjasikkhāpadaṃ"	"yo pana bhikkhu saṅghike vihāre jānaṃ pubb'upagataṃ bhikkhuṃ anupakhajja seyyaṃ kappeyya yassa sambādho bhavissati, so pakkamissatī'ti etad'eva paccayaṃ <b>karitvā</b> anaññaṃ, pācittiyaṃ."	""
"1"	"4"	"anaññaṃ"	"pron"	"masc acc sg of anaññā"	""	""	"not another"	""	""	""	""	""	"na + añña"	""	""	"PA 16"	"anupakhajjasikkhāpadaṃ"	"yo pana bhikkhu saṅghike vihāre jānaṃ pubb'upagataṃ bhikkhuṃ anupakhajja seyyaṃ kappeyya yassa sambādho bhavissati, so pakkamissatī'ti etad'eva paccayaṃ karitvā <b>anaññaṃ</b>, pācittiyaṃ."	""
"46"	"122"	"pācittiyaṃ"	"adj"	"nt nom sg of pācittiya"	"+loc"	"0"	"requiring confession"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	""	""	""	""
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
""	""	"17"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"39"	"99"	"yo"	"pron"	"masc nom sg of ya"	"0"	"எவரேனும்"	"whichever, whoever"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	""	""	""	""
"49"	"124"	"pana"	"ind"	"0"	"0"	"இப்போது"	"then, now, so, but"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	""	""	""	""
"80"	"147"	"bhikkhu"	"noun"	"masc nom sg, from bhikkhati"	"0"	"பிக்கு"	"monk, monastic"	"beggar, mendicant"	"√bhikkh (beg)"	"1"	"a"	"0"	"√bhikkh + u"	"0"	"0"	""	""	""	""
"17"	"26"	"bhikkhuṃ"	"noun"	"masc acc sg, from bhikkhati"	"0"	"0"	"monk, monastic"	"beggar, mendicant"	"√bhikkh (beg)"	"1"	"a"	"0"	"√bhikkh + u"	"0"	"0"	""	""	""	""
"2"	"4"	"kupito"	"pp"	"masc nom sg of kuppati"	"0"	"0"	"angered, upset, annoyed"	"shaken"	"√kup (shake, be angry)"	"3"	"ya"	"0"	"√kup + ita"	"0"	"0"	""	""	""	""
"2"	"4"	"anattamano"	"adj"	"masc nom sg of anattamana"	"0"	"0"	"displeased, annoyed, unhappy"	"not own mind"	"0"	"0"	"0"	"0"	"na + atta + mana"	"kammadhāraya"	"na + attamana"	""	""	""	""
"1"	"1"	"saṅghikā"	"adj"	"masc abl sg of saṅghika"	""	""	"belonging to the community; communal"	""	"√ghaṭ (join together)"	"1"	"a"	""	"saṃ + √ghaṭ + ika"	""	""	"PA 17"	"nikkaḍḍhanasikkhāpadaṃ"	"yo pana bhikkhu bhikkhuṃ kupito anattamano <b>saṅghikā</b> vihārā nikkaḍḍheyya vā nikkaḍḍhāpeyya vā, pācittiyaṃ."	""
"1"	"1"	"vihārā"	"noun"	"masc abl sg of vihāra"	""	""	"from a dwelling, kuṭi"	""	"√har (live)"	"1"	"a"	""	"vi + √har + *a"	""	""	"PA 17"	"nikkaḍḍhanasikkhāpadaṃ"	"yo pana bhikkhu bhikkhuṃ kupito anattamano saṅghikā <b>vihārā</b> nikkaḍḍheyya vā nikkaḍḍhāpeyya vā, pācittiyaṃ."	""
"1"	"1"	"nikkaḍḍheyya"	"verb"	"opt 3rd sg of nikkaḍḍhati"	""	""	"he would drag out, expels, remove"	""	"√kaḍḍh (drag)"	"1"	"a"	"√kaḍḍh + a > kaḍḍha"	"nī + kaḍḍha + ti"	""	""	"PA 17"	"nikkaḍḍhanasikkhāpadaṃ"	"yo pana bhikkhu bhikkhuṃ kupito anattamano saṅghikā vihārā <b>nikkaḍḍheyya</b> vā nikkaḍḍhāpeyya vā, pācittiyaṃ."	""
"103"	"220"	"vā"	"ind"	"conj"	"0"	"அல்லது"	"or, either or"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	""	""	""	""
"1"	"1"	"nikkaḍḍhāpeyya"	"verb"	"opt 3rd sg of nikkaḍḍhāpeti"	""	""	"he would make drag out, expels, remove"	""	"√kaḍḍh (drag)"	"1"	"āpe"	"√kaḍḍh + āpe > kaḍḍhāpe"	"nī + kaḍḍhāpe + ti"	""	""	"PA 17"	"nikkaḍḍhanasikkhāpadaṃ"	"yo pana bhikkhu bhikkhuṃ kupito anattamano saṅghikā vihārā nikkaḍḍheyya vā <b>nikkaḍḍhāpeyya</b> vā, pācittiyaṃ."	""
"104"	"220"	"vā"	"ind"	"conj"	"0"	"அல்லது"	"or, either or"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	""	""	""	""
"47"	"122"	"pācittiyaṃ"	"adj"	"nt nom sg of pācittiya"	"+loc"	"0"	"requiring confession"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	""	""	""	""
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
""	""	"18"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"40"	"99"	"yo"	"pron"	"masc nom sg of ya"	"0"	"எவரேனும்"	"whichever, whoever"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	""	""	""	""
"50"	"124"	"pana"	"ind"	"0"	"0"	"இப்போது"	"then, now, so, but"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	""	""	""	""
"81"	"147"	"bhikkhu"	"noun"	"masc nom sg, from bhikkhati"	"0"	"பிக்கு"	"monk, monastic"	"beggar, mendicant"	"√bhikkh (beg)"	"1"	"a"	"0"	"√bhikkh + u"	"0"	"0"	""	""	""	""
"3"	"3"	"saṅghike"	"adj"	"masc loc sg of saṅghika"	"0"	"0"	"in belonging to the community"	"related to community"	"√ghaṭ (join together)"	"1"	"a"	"0"	"saṃ + √ghaṭ + a + ika"	"0"	"0"	""	""	""	""
"3"	"3"	"vihāre"	"noun"	"masc loc sg of vihāra"	"0"	"0"	"in a dwelling, residence"	"living place"	"√har (live)"	"1"	"a"	"0"	"vi + √har + *a"	"0"	"0"	""	""	""	""
"1"	"1"	"uparivehāsakuṭiyā"	"noun"	"fem loc sg of uparivehāsakuṭi"	""	""	"in a upper room, in a loft room"	""	""	""	""	""	"upari + vehāsa + kuṭi"	"kammadhāraya"	"uparivehāsa + kuṭi"	"PA 18"	"vehāsakuṭisikkhāpadaṃ"	"yo pana bhikkhu saṅghike vihāre <b>uparivehāsakuṭiyā</b> āhaccapādakaṃ mañcaṃ vā pīṭhaṃ vā abhinisīdeyya vā abhinipajjeyya vā, pācittiyaṃ."	""
"1"	"1"	"- upari"	"ind"	"prep"	""	""	"above, upper"	""	""	""	""	""	""	""	""	"PA 18"	"vehāsakuṭisikkhāpadaṃ"	"yo pana bhikkhu saṅghike vihāre <b>upari</b>vehāsakuṭiyā āhaccapādakaṃ mañcaṃ vā pīṭhaṃ vā abhinisīdeyya vā abhinipajjeyya vā, pācittiyaṃ."	""
"1"	"1"	"- vehāsa"	"noun"	"masc"	""	""	"sky, air"	""	""	""	""	""	""	""	""	"PA 18"	"vehāsakuṭisikkhāpadaṃ"	"yo pana bhikkhu saṅghike vihāre upari<b>vehāsa</b>kuṭiyā āhaccapādakaṃ mañcaṃ vā pīṭhaṃ vā abhinisīdeyya vā abhinipajjeyya vā, pācittiyaṃ."	""
"1"	"1"	"- kuṭiyā"	"noun"	"fem loc sg of kuṭi"	""	""	"in the room"	""	"√kuṭ (bend)"	"1"	"a"	""	"√kuṭ + i"	""	""	"PA 18"	"vehāsakuṭisikkhāpadaṃ"	"yo pana bhikkhu saṅghike vihāre uparivehāsa<b>kuṭiyā</b> āhaccapādakaṃ mañcaṃ vā pīṭhaṃ vā abhinisīdeyya vā abhinipajjeyya vā, pācittiyaṃ."	""
"1"	"1"	"āhaccapādakaṃ"	"adj"	"masc acc sg of āhaccapādaka"	""	""	"with detachable legs"	""	""	""	""	""	"āhacca + pādaka"	"kammadhāraya"	"āhacca + pādaka"	"PA 18"	"vehāsakuṭisikkhāpadaṃ"	"yo pana bhikkhu saṅghike vihāre uparivehāsakuṭiyā <b>āhaccapādakaṃ</b> mañcaṃ vā pīṭhaṃ vā abhinisīdeyya vā abhinipajjeyya vā, pācittiyaṃ."	""
"1"	"1"	"- āhacca"	"ptp"	""	""	""	"removable"	"to be carried"	"√har (carry)"	"1"	"a"	""	"ā + √har + ya"	""	""	"PA 18"	"vehāsakuṭisikkhāpadaṃ"	"yo pana bhikkhu saṅghike vihāre uparivehāsakuṭiyā <b>āhacca</b>pādakaṃ mañcaṃ vā pīṭhaṃ vā abhinisīdeyya vā abhinipajjeyya vā, pācittiyaṃ."	""
"1"	"2"	"- pādakaṃ"	"adj"	"masc acc sg of pādaka"	""	""	"having legs, with feet"	""	"√pad (go, step)"	"3"	"ya"	""	"√pad + *a + ka"	""	""	"PA 18"	"vehāsakuṭisikkhāpadaṃ"	"yo pana bhikkhu saṅghike vihāre uparivehāsakuṭiyā āhacca<b>pādakaṃ</b> mañcaṃ vā pīṭhaṃ vā abhinisīdeyya vā abhinipajjeyya vā, pācittiyaṃ."	""
"2"	"4"	"mañcaṃ"	"noun"	"masc acc sg of mañca"	"0"	"0"	"bed, couch"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	""	""	""	""
"105"	"220"	"vā"	"ind"	"conj"	"0"	"அல்லது"	"or, either or"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	""	""	""	""
"2"	"4"	"pīṭhaṃ"	"noun"	"nt acc sg of pīṭha"	"0"	"0"	"chair"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	""	""	""	""
"106"	"220"	"vā"	"ind"	"conj"	"0"	"அல்லது"	"or, either or"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	""	""	""	""
"1"	"1"	"abhinisīdeyya"	"verb"	"opt 3rd sg of abhinisīdati"	""	""	"he would sit down hard"	""	"√sad (sink, sit, settle)"	"1"	"a"	"√sad + a > sīda"	"abhi + ni + sīda + ti"	""	""	"PA 18"	"vehāsakuṭisikkhāpadaṃ"	"yo pana bhikkhu saṅghike vihāre uparivehāsakuṭiyā āhaccapādakaṃ mañcaṃ vā pīṭhaṃ vā <b>abhinisīdeyya</b> vā abhinipajjeyya vā, pācittiyaṃ."	""
"107"	"220"	"vā"	"ind"	"conj"	"0"	"அல்லது"	"or, either or"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	""	""	""	""
"1"	"1"	"abhinipajjeyya"	"verb"	"opt 3rd sg of abhinipajjati"	""	""	"he would lie down hard"	""	"√pad (go, step)"	"3"	"ya"	"√pad + ya > pajja"	"abhi + ni + pajja + ti"	""	""	"PA 18"	"vehāsakuṭisikkhāpadaṃ"	"yo pana bhikkhu saṅghike vihāre uparivehāsakuṭiyā āhaccapādakaṃ mañcaṃ vā pīṭhaṃ vā abhinisīdeyya vā <b>abhinipajjeyya</b> vā, pācittiyaṃ."	""
"108"	"220"	"vā"	"ind"	"conj"	"0"	"அல்லது"	"or, either or"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	""	""	""	""
"48"	"122"	"pācittiyaṃ"	"adj"	"nt nom sg of pācittiya"	"+loc"	"0"	"requiring confession"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	""	""	""	""
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
""	""	"19"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"3"	"mahallakaṃ"	"adj"	"masc acc sg of mahallaka"	"0"	"0"	"large, big"	"0"	"0"	"0"	"0"	"0"	"mahā + la + ka"	"0"	"0"	""	""	""	""
"51"	"124"	"pana"	"ind"	"0"	"0"	"இப்போது"	"then, now, so, but"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	""	""	""	""
"23"	"39"	"bhikkhunā"	"noun"	"masc instr sg of bhikkhu, from bhikkhati"	"0"	"பிக்குவால்"	"by a monk, monastic"	"beggar, mendicant"	"√bhikkh (beg)"	"1"	"a"	"0"	"√bhikkh + u"	"0"	"0"	""	""	""	""
"3"	"3"	"vihāraṃ"	"noun"	"masc acc sg of vihāra, from viharati"	"0"	"0"	"building, house"	"living place"	"√har (live)"	"1"	"a"	"0"	"vi + √har + *a"	"0"	"0"	""	""	""	""
"5"	"9"	"kārayamānena"	"prp"	"masc instr sg of kārayamāna, from kāreti"	"0"	"0"	"by (the monk) building"	"by causing to make"	"√kar (do, make)"	"0"	"0"	"0"	"0"	"0"	"0"	""	""	""	""
"3"	"6"	"yāva"	"ind"	"adv, prep"	"+dat"	"0"	"until, as long as"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	""	""	""	""
"1"	"1"	"dvārakosā"	"noun"	"masc abl sg of dvārakosa"	""	""	"as the door frame "	"door enclosure"	""	""	""	""	"dvāra + kosa"	"genitive tappurisa"	"dvārassa + kosa"	"PA 19"	"mahallakavihārasikkhāpadaṃ"	"mahallakaṃ pana bhikkhunā vihāraṃ kārayamānena yāva <b>dvārakosā</b> aggaḷaṭṭhapanāya ālokasandhiparikammāya dvatticchadanassa pariyāyaṃ appaharite ṭhitena adhiṭṭhātabbaṃ, tato ce uttari appaharite'pi ṭhito adhiṭṭhaheyya, pācittiyaṃ."	""
"1"	"1"	"- dvāra"	"noun"	"nt"	""	""	"entrance, door"	""	""	""	""	""	""	""	""	"PA 19"	"mahallakavihārasikkhāpadaṃ"	"mahallakaṃ pana bhikkhunā vihāraṃ kārayamānena yāva <b>dvāra</b>kosā aggaḷaṭṭhapanāya ālokasandhiparikammāya dvatticchadanassa pariyāyaṃ appaharite ṭhitena adhiṭṭhātabbaṃ, tato ce uttari appaharite'pi ṭhito adhiṭṭhaheyya, pācittiyaṃ."	""
"1"	"1"	"- kosā"	"noun"	"masc abl sg of kosa"	""	""	"enclosure, frame"	""	"√kus (fill, enfold)"	"1"	"a"	""	"√kus + *a"	""	""	"PA 19"	"mahallakavihārasikkhāpadaṃ"	"mahallakaṃ pana bhikkhunā vihāraṃ kārayamānena yāva dvāra<b>kosā</b> aggaḷaṭṭhapanāya ālokasandhiparikammāya dvatticchadanassa pariyāyaṃ appaharite ṭhitena adhiṭṭhātabbaṃ, tato ce uttari appaharite'pi ṭhito adhiṭṭhaheyya, pācittiyaṃ."	""
"1"	"1"	"aggalaṭṭhapanāya"	"noun"	"nt dat sg of aggalaṭṭhapana"	""	""	"for placing the latch, for fixing the hinges"	""	""	""	""	""	"aggala + ṭhapana"	"accusative tappurisa"	"aggal<b>aṃ</b> + ṭhapana"	"PA 19"	"mahallakavihārasikkhāpadaṃ"	"mahallakaṃ pana bhikkhunā vihāraṃ kārayamānena yāva dvārakosā <b>aggaḷaṭṭhapanāya</b> ālokasandhiparikammāya dvatticchadanassa pariyāyaṃ appaharite ṭhitena adhiṭṭhātabbaṃ, tato ce uttari appaharite'pi ṭhito adhiṭṭhaheyya, pācittiyaṃ."	""
"1"	"1"	"- aggala"	"noun"	"nt"	""	""	"bolt, latch, hinge"	""	""	""	""	""	""	""	""	"PA 19"	"mahallakavihārasikkhāpadaṃ"	"mahallakaṃ pana bhikkhunā vihāraṃ kārayamānena yāva dvārakosā <b>aggaḷa</b>ṭṭhapanāya ālokasandhiparikammāya dvatticchadanassa pariyāyaṃ appaharite ṭhitena adhiṭṭhātabbaṃ, tato ce uttari appaharite'pi ṭhito adhiṭṭhaheyya, pācittiyaṃ."	""
"1"	"1"	"- ṭhapanāya"	"noun"	"nt dat sg of ṭhapana"	""	""	"for the purpose of placing"	"for causing to stand"	"√ṭhā (stand)"	"1"	"āpe"	"√ṭhā + āpe > ṭhāpe > thape"	"ṭhape + ana"	""	""	"PA 19"	"mahallakavihārasikkhāpadaṃ"	"mahallakaṃ pana bhikkhunā vihāraṃ kārayamānena yāva dvārakosā aggaḷa<b>ṭṭhapanāya</b> ālokasandhiparikammāya dvatticchadanassa pariyāyaṃ appaharite ṭhitena adhiṭṭhātabbaṃ, tato ce uttari appaharite'pi ṭhito adhiṭṭhaheyya, pācittiyaṃ."	""
"1"	"1"	"ālokasandhiparikammāya"	"noun"	"nt dat sg of ālokasandhiparikamma"	""	""	"for the purpose of preparing the window frame"	""	""	""	""	""	"āloka + sandhi + parikamma"	"accusative tappurisa"	"ālokasandhiṃ + parikamma"	"PA 19"	"mahallakavihārasikkhāpadaṃ"	"mahallakaṃ pana bhikkhunā vihāraṃ kārayamānena yāva dvārakosā aggaḷaṭṭhapanāya <b>ālokasandhiparikammāya</b> dvatticchadanassa pariyāyaṃ appaharite ṭhitena adhiṭṭhātabbaṃ, tato ce uttari appaharite'pi ṭhito adhiṭṭhaheyya, pācittiyaṃ."	""
"1"	"1"	"- ālokasandhi"	"noun"	"masc"	""	""	"window shutters"	"light joint"	""	""	""	""	"āloka + sandhi"	"dative tappurisa"	"ālokāya + sandhi"	"PA 19"	"mahallakavihārasikkhāpadaṃ"	"mahallakaṃ pana bhikkhunā vihāraṃ kārayamānena yāva dvārakosā aggaḷaṭṭhapanāya <b>ālokasandhi</b>parikammāya dvatticchadanassa pariyāyaṃ appaharite ṭhitena adhiṭṭhātabbaṃ, tato ce uttari appaharite'pi ṭhito adhiṭṭhaheyya, pācittiyaṃ."	""
"1"	"1"	"- - āloka"	"noun"	"masc"	""	""	"light"	""	"√lok (look)"	"8"	"*e"	""	"ā + √lok + a"	""	""	"PA 19"	"mahallakavihārasikkhāpadaṃ"	"mahallakaṃ pana bhikkhunā vihāraṃ kārayamānena yāva dvārakosā aggaḷaṭṭhapanāya <b>āloka</b>sandhiparikammāya dvatticchadanassa pariyāyaṃ appaharite ṭhitena adhiṭṭhātabbaṃ, tato ce uttari appaharite'pi ṭhito adhiṭṭhaheyya, pācittiyaṃ."	""
"1"	"1"	"- - sandhi"	"noun"	"masc"	""	""	"join"	"placing together"	"√dhā (place, support)"	"1"	"a"	""	"saṃ + √dhā + i"	""	""	"PA 19"	"mahallakavihārasikkhāpadaṃ"	"mahallakaṃ pana bhikkhunā vihāraṃ kārayamānena yāva dvārakosā aggaḷaṭṭhapanāya āloka<b>sandhi</b>parikammāya dvatticchadanassa pariyāyaṃ appaharite ṭhitena adhiṭṭhātabbaṃ, tato ce uttari appaharite'pi ṭhito adhiṭṭhaheyya, pācittiyaṃ."	""
"1"	"1"	"- parikammāya"	"noun"	"nt dat sg of parikamma"	""	""	"for preparation, arranging"	"working around"	"√kar (do, make)"	"7"	"o"	""	"pari + √kar + ma"	""	""	"PA 19"	"mahallakavihārasikkhāpadaṃ"	"mahallakaṃ pana bhikkhunā vihāraṃ kārayamānena yāva dvārakosā aggaḷaṭṭhapanāya ālokasandhi<b>parikammāya</b> dvatticchadanassa pariyāyaṃ appaharite ṭhitena adhiṭṭhātabbaṃ, tato ce uttari appaharite'pi ṭhito adhiṭṭhaheyya, pācittiyaṃ."	""
"1"	"1"	"dvatticchadanassa"	"noun"	"nt gen sg of dvatticchadana"	""	""	"of two or three layers"	""	""	""	""	""	"dvi + ti + chadana"	"digu"	"dvatti + chadana"	"PA 19"	"mahallakavihārasikkhāpadaṃ"	"mahallakaṃ pana bhikkhunā vihāraṃ kārayamānena yāva dvārakosā aggaḷaṭṭhapanāya ālokasandhiparikammāya <b>dvatticchadanassa</b> pariyāyaṃ appaharite ṭhitena adhiṭṭhātabbaṃ, tato ce uttari appaharite'pi ṭhito adhiṭṭhaheyya, pācittiyaṃ."	""
"2"	"3"	"- dvatti"	"adj"	"comp"	"0"	"0"	"two or three"	"0"	"0"	"0"	"0"	"0"	"dve + ti"	"dvanda"	"dva + ti"	""	""	""	""
"1"	"1"	"- cchadanassa"	"noun"	"nt gen sg of chadana"	""	""	"of a layer, covering"	"of covering"	"√chad (cover, conceal)"	"8"	"*e"	""	"√chad + ana"	""	""	"PA 19"	"mahallakavihārasikkhāpadaṃ"	"mahallakaṃ pana bhikkhunā vihāraṃ kārayamānena yāva dvārakosā aggaḷaṭṭhapanāya ālokasandhiparikammāya dvatti<b>cchadanassa</b> pariyāyaṃ appaharite ṭhitena adhiṭṭhātabbaṃ, tato ce uttari appaharite'pi ṭhito adhiṭṭhaheyya, pācittiyaṃ."	""
"1"	"1"	"pariyāyaṃ"	"noun"	"masc acc sg of pariyāya"	""	""	"course, method"	""	"√i (come, go)"	"1"	"a"	""	"pari + [y] + √i + *a"	""	""	"PA 19"	"mahallakavihārasikkhāpadaṃ"	"mahallakaṃ pana bhikkhunā vihāraṃ kārayamānena yāva dvārakosā aggaḷaṭṭhapanāya ālokasandhiparikammāya dvatticchadanassa <b>pariyāyaṃ</b> appaharite ṭhitena adhiṭṭhātabbaṃ, tato ce uttari appaharite'pi ṭhito adhiṭṭhaheyya, pācittiyaṃ."	""
"1"	"1"	"appaharite"	"noun"	"nt loc sg of appaharita"	""	""	"where few crops"	"in little green"	""	""	""	""	"appa + harita"	"kammadhāraya"	"appa + harita"	"PA 19"	"mahallakavihārasikkhāpadaṃ"	"mahallakaṃ pana bhikkhunā vihāraṃ kārayamānena yāva dvārakosā aggaḷaṭṭhapanāya ālokasandhiparikammāya dvatticchadanassa pariyāyaṃ <b>appaharite</b> ṭhitena adhiṭṭhātabbaṃ, tato ce uttari appaharite'pi ṭhito adhiṭṭhaheyya, pācittiyaṃ."	""
"1"	"1"	"- appa"	"adj"	""	""	""	"little, few"	""	""	""	""	""	""	""	""	"PA 19"	"mahallakavihārasikkhāpadaṃ"	"mahallakaṃ pana bhikkhunā vihāraṃ kārayamānena yāva dvārakosā aggaḷaṭṭhapanāya ālokasandhiparikammāya dvatticchadanassa pariyāyaṃ <b>appa</b>harite ṭhitena adhiṭṭhātabbaṃ, tato ce uttari appaharite'pi ṭhito adhiṭṭhaheyya, pācittiyaṃ."	""
"1"	"1"	"- harite"	"noun"	"nt loc sg of harita"	""	""	"(in) crop, vegetable"	"green"	""	""	""	""	"hari + ta"	""	""	"PA 19"	"mahallakavihārasikkhāpadaṃ"	"mahallakaṃ pana bhikkhunā vihāraṃ kārayamānena yāva dvārakosā aggaḷaṭṭhapanāya ālokasandhiparikammāya dvatticchadanassa pariyāyaṃ appa<b>harite</b> ṭhitena adhiṭṭhātabbaṃ, tato ce uttari appaharite'pi ṭhito adhiṭṭhaheyya, pācittiyaṃ."	""
"1"	"1"	"ṭhitena"	"pp"	"masc instr sg of ṭhita"	""	""	"by a (monk) standing"	""	"√ṭhā (stand)"	"1"	"a"	""	""	""	""	"PA 19"	"mahallakavihārasikkhāpadaṃ"	"mahallakaṃ pana bhikkhunā vihāraṃ kārayamānena yāva dvārakosā aggaḷaṭṭhapanāya ālokasandhiparikammāya dvatticchadanassa pariyāyaṃ appaharite <b>ṭhitena</b> adhiṭṭhātabbaṃ, tato ce uttari appaharite'pi ṭhito adhiṭṭhaheyya, pācittiyaṃ."	""
"1"	"1"	"adhiṭṭhātabbaṃ"	"ptp"	"masc acc sg of adhiṭṭhātabba"	""	""	"can be ordered"	"to be stood"	"√ṭhā (stand)"	"1"	"a"	""	"adhi + √ṭhā + tabba"	""	""	"PA 19"	"mahallakavihārasikkhāpadaṃ"	"mahallakaṃ pana bhikkhunā vihāraṃ kārayamānena yāva dvārakosā aggaḷaṭṭhapanāya ālokasandhiparikammāya dvatticchadanassa pariyāyaṃ appaharite ṭhitena <b>adhiṭṭhātabbaṃ</b>, tato ce uttari appaharite'pi ṭhito adhiṭṭhaheyya, pācittiyaṃ."	""
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"11"	"16"	"tato"	"ind"	"adv, abl sg of ta"	"0"	"பின்"	"after, then"	"from that"	"0"	"0"	"0"	"0"	"ta + to"	"0"	"0"	""	""	""	""
